2025-12-17 16:13:10 | INFO     | __main__:scrape_programs_for_category:258 - 栏目爬取结束，总共发现 0 个节目
2025-12-17 16:13:10 | INFO     | __main__:run:294 - [8/13]
2025-12-17 16:13:10 | INFO     | __main__:scrape_programs_for_category:194 - 开始爬取栏目: http://www.hawh.cn/hawh/audioVisual/lecture/topic/index.html
2025-12-17 16:13:12 | ERROR    | __main__:extract_programs_from_html:187 - 解析 HTML 提取节目时出错: name 'urljoin' is not defined
2025-12-17 16:13:12 | INFO     | __main__:scrape_programs_for_category:209 - 第 1 页抓取完成，找到 0 个节目
2025-12-17 16:13:12 | INFO     | __main__:scrape_programs_for_category:221 - 检测到分页组件，最大页数为: 3
2025-12-17 16:13:12 | INFO     | __main__:scrape_programs_for_category:236 - 正在爬取第 2/3 页: http://www.hawh.cn/hawh/audioVisual/lecture/topic/index.html?pageIndex=2
2025-12-17 16:13:14 | ERROR    | __main__:extract_programs_from_html:187 - 解析 HTML 提取节目时出错: name 'urljoin' is not defined
2025-12-17 16:13:14 | INFO     | __main__:scrape_programs_for_category:246 - 第 2 页抓取完成，新增 0 个节目
2025-12-17 16:13:14 | INFO     | __main__:scrape_programs_for_category:236 - 正在爬取第 3/3 页: http://www.hawh.cn/hawh/audioVisual/lecture/topic/index.html?pageIndex=3
2025-12-17 16:13:16 | ERROR    | __main__:extract_programs_from_html:187 - 解析 HTML 提取节目时出错: name 'urljoin' is not defined
2025-12-17 16:13:16 | INFO     | __main__:scrape_programs_for_category:246 - 第 3 页抓取完成，新增 0 个节目
2025-12-17 16:13:16 | INFO     | __main__:scrape_programs_for_category:258 - 栏目爬取结束，总共发现 0 个节目
2025-12-17 16:13:16 | INFO     | __main__:run:294 - [9/13]
2025-12-17 16:13:16 | INFO     | __main__:scrape_programs_for_category:194 - 开始爬取栏目: http://www.hawh.cn/hawh/audioVisual/lecture/tradition/index.html
2025-12-17 16:13:18 | ERROR    | __main__:extract_programs_from_html:187 - 解析 HTML 提取节目时出错: name 'urljoin' is not defined
2025-12-17 16:13:18 | INFO     | __main__:scrape_programs_for_category:209 - 第 1 页抓取完成，找到 0 个节目
2025-12-17 16:13:18 | INFO     | __main__:scrape_programs_for_category:221 - 检测到分页组件，最大页数为: 3
2025-12-17 16:13:18 | INFO     | __main__:scrape_programs_for_category:236 - 正在爬取第 2/3 页: http://www.hawh.cn/hawh/audioVisual/lecture/tradition/index.html?pageIndex=2
2025-12-17 16:13:20 | ERROR    | __main__:extract_programs_from_html:187 - 解析 HTML 提取节目时出错: name 'urljoin' is not defined
2025-12-17 16:13:20 | INFO     | __main__:scrape_programs_for_category:246 - 第 2 页抓取完成，新增 0 个节目
2025-12-17 16:13:20 | INFO     | __main__:scrape_programs_for_category:236 - 正在爬取第 3/3 页: http://www.hawh.cn/hawh/audioVisual/lecture/tradition/index.html?pageIndex=3
2025-12-17 16:13:23 | INFO     | __main__:run:277 - ============================================================
2025-12-17 16:13:23 | INFO     | __main__:run:278 - 🚀 HAWH媒体爬虫启动
2025-12-17 16:13:23 | INFO     | __main__:run:279 - ============================================================
2025-12-17 16:13:23 | INFO     | __main__:scrape_categories:134 - 开始爬取栏目信息...
2025-12-17 16:13:26 | INFO     | __main__:scrape_categories:141 - 发现 13 个栏目
2025-12-17 16:13:26 | INFO     | __main__:run:289 - ============================================================
2025-12-17 16:13:26 | INFO     | __main__:run:290 - 📺 开始爬取 13 个栏目的节目
2025-12-17 16:13:26 | INFO     | __main__:run:291 - ============================================================
2025-12-17 16:13:26 | INFO     | __main__:run:294 - [1/13]
2025-12-17 16:13:26 | INFO     | __main__:scrape_programs_for_category:194 - 开始爬取栏目: http://www.hawh.cn/hawh/audioVisual/lecture/topic/index.html
2025-12-17 16:13:27 | INFO     | __main__:scrape_programs_for_category:209 - 第 1 页抓取完成，找到 12 个节目
2025-12-17 16:13:27 | INFO     | __main__:scrape_programs_for_category:221 - 检测到分页组件，最大页数为: 3
2025-12-17 16:13:27 | INFO     | __main__:scrape_programs_for_category:236 - 正在爬取第 2/3 页: http://www.hawh.cn/hawh/audioVisual/lecture/topic/index.html?pageIndex=2
2025-12-17 16:13:42 | INFO     | __main__:scrape_programs_for_category:246 - 第 2 页抓取完成，新增 12 个节目
2025-12-17 16:13:42 | INFO     | __main__:scrape_programs_for_category:236 - 正在爬取第 3/3 页: http://www.hawh.cn/hawh/audioVisual/lecture/topic/index.html?pageIndex=3
2025-12-17 16:13:43 | INFO     | __main__:scrape_programs_for_category:246 - 第 3 页抓取完成，新增 8 个节目
2025-12-17 16:13:43 | INFO     | __main__:scrape_programs_for_category:258 - 栏目爬取结束，总共发现 32 个节目
2025-12-17 16:13:43 | INFO     | __main__:run:294 - [2/13]
2025-12-17 16:13:43 | INFO     | __main__:scrape_programs_for_category:194 - 开始爬取栏目: http://www.hawh.cn/hawh/audioVisual/cultural/world/index.html
2025-12-17 16:13:45 | INFO     | __main__:scrape_programs_for_category:209 - 第 1 页抓取完成，找到 0 个节目
2025-12-17 16:13:45 | INFO     | __main__:scrape_programs_for_category:221 - 检测到分页组件，最大页数为: 4
2025-12-17 16:13:45 | INFO     | __main__:scrape_programs_for_category:236 - 正在爬取第 2/4 页: http://www.hawh.cn/hawh/audioVisual/cultural/world/index.html?pageIndex=2
2025-12-17 16:13:47 | INFO     | __main__:scrape_programs_for_category:246 - 第 2 页抓取完成，新增 0 个节目
2025-12-17 16:13:47 | INFO     | __main__:scrape_programs_for_category:236 - 正在爬取第 3/4 页: http://www.hawh.cn/hawh/audioVisual/cultural/world/index.html?pageIndex=3
2025-12-17 16:13:49 | INFO     | __main__:scrape_programs_for_category:246 - 第 3 页抓取完成，新增 0 个节目
2025-12-17 16:13:49 | INFO     | __main__:scrape_programs_for_category:236 - 正在爬取第 4/4 页: http://www.hawh.cn/hawh/audioVisual/cultural/world/index.html?pageIndex=4
2025-12-17 16:13:51 | INFO     | __main__:scrape_programs_for_category:246 - 第 4 页抓取完成，新增 0 个节目
2025-12-17 16:13:51 | INFO     | __main__:scrape_programs_for_category:258 - 栏目爬取结束，总共发现 0 个节目
2025-12-17 16:13:51 | INFO     | __main__:run:294 - [3/13]
2025-12-17 16:13:51 | INFO     | __main__:scrape_programs_for_category:194 - 开始爬取栏目: http://www.hawh.cn/hawh/audioVisual/lecture/interview/index.html
2025-12-17 16:13:53 | INFO     | __main__:scrape_programs_for_category:209 - 第 1 页抓取完成，找到 12 个节目
2025-12-17 16:13:53 | INFO     | __main__:scrape_programs_for_category:221 - 检测到分页组件，最大页数为: 3
2025-12-17 16:13:53 | INFO     | __main__:scrape_programs_for_category:236 - 正在爬取第 2/3 页: http://www.hawh.cn/hawh/audioVisual/lecture/interview/index.html?pageIndex=2
2025-12-17 16:13:55 | INFO     | __main__:scrape_programs_for_category:246 - 第 2 页抓取完成，新增 12 个节目
2025-12-17 16:13:55 | INFO     | __main__:scrape_programs_for_category:236 - 正在爬取第 3/3 页: http://www.hawh.cn/hawh/audioVisual/lecture/interview/index.html?pageIndex=3
2025-12-17 16:13:57 | INFO     | __main__:scrape_programs_for_category:246 - 第 3 页抓取完成，新增 1 个节目
2025-12-17 16:13:57 | INFO     | __main__:scrape_programs_for_category:258 - 栏目爬取结束，总共发现 25 个节目
2025-12-17 16:13:57 | INFO     | __main__:run:294 - [4/13]
2025-12-17 16:13:57 | INFO     | __main__:scrape_programs_for_category:194 - 开始爬取栏目: http://www.hawh.cn/hawh/audioVisual/dynamic/index.html
2025-12-17 16:13:59 | INFO     | __main__:scrape_programs_for_category:209 - 第 1 页抓取完成，找到 0 个节目
2025-12-17 16:13:59 | INFO     | __main__:scrape_programs_for_category:221 - 检测到分页组件，最大页数为: 1
2025-12-17 16:13:59 | INFO     | __main__:scrape_programs_for_category:258 - 栏目爬取结束，总共发现 0 个节目
2025-12-17 16:13:59 | INFO     | __main__:run:294 - [5/13]
2025-12-17 16:13:59 | INFO     | __main__:scrape_programs_for_category:194 - 开始爬取栏目: http://www.hawh.cn/hawh/audioVisual/cultural/centralPlains/index.html
2025-12-17 16:14:01 | INFO     | __main__:scrape_programs_for_category:209 - 第 1 页抓取完成，找到 0 个节目
2025-12-17 16:14:01 | INFO     | __main__:scrape_programs_for_category:221 - 检测到分页组件，最大页数为: 1
2025-12-17 16:14:01 | INFO     | __main__:scrape_programs_for_category:258 - 栏目爬取结束，总共发现 0 个节目
2025-12-17 16:14:01 | INFO     | __main__:run:294 - [6/13]
2025-12-17 16:14:01 | INFO     | __main__:scrape_programs_for_category:194 - 开始爬取栏目: http://www.hawh.cn/hawh/audioVisual/art/acrobatics/index.html
2025-12-17 16:14:03 | INFO     | __main__:scrape_programs_for_category:209 - 第 1 页抓取完成，找到 12 个节目
2025-12-17 16:14:03 | INFO     | __main__:scrape_programs_for_category:221 - 检测到分页组件，最大页数为: 5
2025-12-17 16:14:03 | INFO     | __main__:scrape_programs_for_category:236 - 正在爬取第 2/5 页: http://www.hawh.cn/hawh/audioVisual/art/acrobatics/index.html?pageIndex=2
2025-12-17 16:14:04 | INFO     | __main__:scrape_programs_for_category:246 - 第 2 页抓取完成，新增 12 个节目
2025-12-17 16:14:04 | INFO     | __main__:scrape_programs_for_category:236 - 正在爬取第 3/5 页: http://www.hawh.cn/hawh/audioVisual/art/acrobatics/index.html?pageIndex=3
2025-12-17 16:14:06 | INFO     | __main__:scrape_programs_for_category:246 - 第 3 页抓取完成，新增 12 个节目
2025-12-17 16:14:06 | INFO     | __main__:scrape_programs_for_category:236 - 正在爬取第 4/5 页: http://www.hawh.cn/hawh/audioVisual/art/acrobatics/index.html?pageIndex=4
2025-12-17 16:14:08 | INFO     | __main__:scrape_programs_for_category:246 - 第 4 页抓取完成，新增 12 个节目
2025-12-17 16:14:08 | INFO     | __main__:scrape_programs_for_category:236 - 正在爬取第 5/5 页: http://www.hawh.cn/hawh/audioVisual/art/acrobatics/index.html?pageIndex=5
2025-12-17 16:14:10 | INFO     | __main__:scrape_programs_for_category:246 - 第 5 页抓取完成，新增 4 个节目
2025-12-17 16:14:10 | INFO     | __main__:scrape_programs_for_category:258 - 栏目爬取结束，总共发现 52 个节目
2025-12-17 16:14:10 | INFO     | __main__:run:294 - [7/13]
2025-12-17 16:14:10 | INFO     | __main__:scrape_programs_for_category:194 - 开始爬取栏目: http://www.hawh.cn/hawh/audioVisual/art/drama/index.html
2025-12-17 16:14:12 | INFO     | __main__:scrape_programs_for_category:209 - 第 1 页抓取完成，找到 12 个节目
2025-12-17 16:14:12 | INFO     | __main__:scrape_programs_for_category:221 - 检测到分页组件，最大页数为: 5
2025-12-17 16:14:12 | INFO     | __main__:scrape_programs_for_category:236 - 正在爬取第 2/5 页: http://www.hawh.cn/hawh/audioVisual/art/drama/index.html?pageIndex=2
2025-12-17 16:14:13 | INFO     | __main__:scrape_programs_for_category:246 - 第 2 页抓取完成，新增 12 个节目
2025-12-17 16:14:13 | INFO     | __main__:scrape_programs_for_category:236 - 正在爬取第 3/5 页: http://www.hawh.cn/hawh/audioVisual/art/drama/index.html?pageIndex=3
2025-12-17 16:14:15 | INFO     | __main__:scrape_programs_for_category:246 - 第 3 页抓取完成，新增 12 个节目
2025-12-17 16:14:15 | INFO     | __main__:scrape_programs_for_category:236 - 正在爬取第 4/5 页: http://www.hawh.cn/hawh/audioVisual/art/drama/index.html?pageIndex=4
2025-12-17 16:14:16 | INFO     | __main__:scrape_programs_for_category:246 - 第 4 页抓取完成，新增 12 个节目
2025-12-17 16:14:16 | INFO     | __main__:scrape_programs_for_category:236 - 正在爬取第 5/5 页: http://www.hawh.cn/hawh/audioVisual/art/drama/index.html?pageIndex=5
2025-12-17 16:14:18 | INFO     | __main__:scrape_programs_for_category:246 - 第 5 页抓取完成，新增 12 个节目
2025-12-17 16:14:18 | INFO     | __main__:scrape_programs_for_category:258 - 栏目爬取结束，总共发现 60 个节目
2025-12-17 16:14:18 | INFO     | __main__:run:294 - [8/13]
2025-12-17 16:14:18 | INFO     | __main__:scrape_programs_for_category:194 - 开始爬取栏目: http://www.hawh.cn/hawh/audioVisual/art/heritage/index.html
2025-12-17 16:14:20 | INFO     | __main__:scrape_programs_for_category:209 - 第 1 页抓取完成，找到 12 个节目
2025-12-17 16:14:20 | INFO     | __main__:scrape_programs_for_category:221 - 检测到分页组件，最大页数为: 3
2025-12-17 16:14:20 | INFO     | __main__:scrape_programs_for_category:236 - 正在爬取第 2/3 页: http://www.hawh.cn/hawh/audioVisual/art/heritage/index.html?pageIndex=2
2025-12-17 16:14:22 | INFO     | __main__:scrape_programs_for_category:246 - 第 2 页抓取完成，新增 12 个节目
2025-12-17 16:14:22 | INFO     | __main__:scrape_programs_for_category:236 - 正在爬取第 3/3 页: http://www.hawh.cn/hawh/audioVisual/art/heritage/index.html?pageIndex=3
2025-12-17 16:14:24 | INFO     | __main__:scrape_programs_for_category:246 - 第 3 页抓取完成，新增 5 个节目
2025-12-17 16:14:24 | INFO     | __main__:scrape_programs_for_category:258 - 栏目爬取结束，总共发现 29 个节目
2025-12-17 16:14:24 | INFO     | __main__:run:294 - [9/13]
2025-12-17 16:14:24 | INFO     | __main__:scrape_programs_for_category:194 - 开始爬取栏目: http://www.hawh.cn/hawh/audioVisual/cultural/essence/index.html
2025-12-17 16:14:26 | INFO     | __main__:scrape_programs_for_category:209 - 第 1 页抓取完成，找到 0 个节目
2025-12-17 16:14:26 | INFO     | __main__:scrape_programs_for_category:221 - 检测到分页组件，最大页数为: 4
2025-12-17 16:14:26 | INFO     | __main__:scrape_programs_for_category:236 - 正在爬取第 2/4 页: http://www.hawh.cn/hawh/audioVisual/cultural/essence/index.html?pageIndex=2
2025-12-17 16:14:28 | INFO     | __main__:scrape_programs_for_category:246 - 第 2 页抓取完成，新增 0 个节目
