栏目,节目标题,节目链接,媒体数量,爬取时间
专题讲座,沈伯俊专题学术讲座,http://www.hawh.cn/content/redirect?id=105098379116355196,0,
专题讲座,郝本性先生专题讲座,http://www.hawh.cn/content/redirect?id=105097767976618427,0,
专题讲座,打造华夏历史文明重要传承区(4),http://www.hawh.cn/content/redirect?id=105097361594216047,0,
专题讲座,梅建军教授讲座,http://www.hawh.cn/content/redirect?id=105095407452764930,0,
专题讲座,打造华夏历史文明重要传承区(2),http://www.hawh.cn/content/redirect?id=105093632673240385,0,
专题讲座,打造华夏历史文明重要传承区(1),http://www.hawh.cn/content/redirect?id=105092481399122513,0,
专题讲座,刘庆柱先生专题讲座,http://www.hawh.cn/content/redirect?id=105091586530518241,0,
专题讲座,弘涛：《中国书魂》,http://www.hawh.cn/content/redirect?id=105098485359918291,0,
专题讲座,2011河南博物院讲堂视频展播(1),http://www.hawh.cn/content/redirect?id=105096974721994350,0,
专题讲座,2011河南博物院讲堂视频展播(2),http://www.hawh.cn/content/redirect?id=105096032637120443,0,
国内经典,上饶集中营,http://www.hawh.cn/content/redirect?id=108093151462626672,0,
国内经典,从奴隶到将军,http://www.hawh.cn/content/redirect?id=108094802286536509,0,
国内经典,突破乌江(上),http://www.hawh.cn/content/redirect?id=108091129760260406,0,
国内经典,突破乌江(下),http://www.hawh.cn/content/redirect?id=108091787340816862,0,
国内经典,古刹钟声(上),http://www.hawh.cn/content/redirect?id=108095523773337201,0,
国内经典,古刹钟声(下),http://www.hawh.cn/content/redirect?id=108097760779127416,0,
国内经典,七天七夜(上),http://www.hawh.cn/content/redirect?id=108098557587671970,0,
国内经典,七天七夜(下),http://www.hawh.cn/content/redirect?id=108095897456881592,0,
国内经典,“独立”大队(上),http://www.hawh.cn/content/redirect?id=108093012938453394,0,
国内经典,“独立”大队(下),http://www.hawh.cn/content/redirect?id=108097154702312423,0,
国内经典,车轮滚滚(上),http://www.hawh.cn/content/redirect?id=108092928970587379,0,
国内经典,车轮滚滚(下),http://www.hawh.cn/content/redirect?id=108093757150803147,0,
国内经典,虎穴追踪（上）,http://www.hawh.cn/content/redirect?id=108091887404461868,0,
国内经典,虎穴追踪（下）,http://www.hawh.cn/content/redirect?id=108091329722222938,0,
国内经典,聂耳(上),http://www.hawh.cn/content/redirect?id=108096505504075389,0,
国内经典,聂耳(下),http://www.hawh.cn/content/redirect?id=108091296341377549,0,
国内经典,刘胡兰(上),http://www.hawh.cn/content/redirect?id=108097072345812582,0,
国内经典,刘胡兰(下),http://www.hawh.cn/content/redirect?id=108091724725666081,0,
国内经典,霓虹灯下的哨兵(2),http://www.hawh.cn/content/redirect?id=108099525348271042,0,
国内经典,霓虹灯下的哨兵(1),http://www.hawh.cn/content/redirect?id=108092855754284339,0,
国内经典,革命家庭(2),http://www.hawh.cn/content/redirect?id=108093177227633813,0,
国内经典,狼牙山五壮士(2),http://www.hawh.cn/content/redirect?id=108097435514430769,0,
国内经典,苦菜花(1),http://www.hawh.cn/content/redirect?id=108095691770826681,0,
国内经典,苦菜花(2),http://www.hawh.cn/content/redirect?id=108097727882135997,0,
国内经典,青春之歌(1),http://www.hawh.cn/content/redirect?id=108094688100095601,0,
国内经典,青春之歌(2),http://www.hawh.cn/content/redirect?id=108097603637169778,0,
国内经典,青春之歌(3),http://www.hawh.cn/content/redirect?id=108096321513611951,0,
国内经典,革命家庭(1),http://www.hawh.cn/content/redirect?id=108097635083209973,0,
国内经典,狼牙山五壮士(1),http://www.hawh.cn/content/redirect?id=108097694654410277,0,
国内经典,大决战-平津战役(1),http://www.hawh.cn/content/redirect?id=108097014273979348,0,
国内经典,大决战-平津战役(2),http://www.hawh.cn/content/redirect?id=108095738115049053,0,
国内经典,大决战-平津战役(3),http://www.hawh.cn/content/redirect?id=108092008177367761,0,
国内经典,大决战-平津战役(4),http://www.hawh.cn/content/redirect?id=108097042945500981,0,
国内经典,大决战-淮海战役(1),http://www.hawh.cn/content/redirect?id=108099215495227188,0,
国内经典,大决战-淮海战役(2),http://www.hawh.cn/content/redirect?id=108095023361209283,0,
国内经典,大决战-淮海战役(3),http://www.hawh.cn/content/redirect?id=108091983315918271,0,
国内经典,大决战-淮海战役(4),http://www.hawh.cn/content/redirect?id=108095833593169924,0,
国内经典,大决战-辽沈战役(4),http://www.hawh.cn/content/redirect?id=108091545765561553,0,
国内经典,大决战-辽沈战役(3),http://www.hawh.cn/content/redirect?id=108094812573292893,0,
国内经典,大决战-辽沈战役(2),http://www.hawh.cn/content/redirect?id=108097051493250382,0,
国内经典,大决战-辽沈战役(1),http://www.hawh.cn/content/redirect?id=108094892496870438,0,
国内经典,子夜(下),http://www.hawh.cn/content/redirect?id=108094258626025837,0,
国内经典,子夜(上),http://www.hawh.cn/content/redirect?id=108096772859427541,0,
